,ID State,State,ID Year,Year,Population,Slug State,Region
121,04000US21,Kentucky,2018,2018,4440204,kentucky,South
122,04000US22,Louisiana,2018,2018,4663616,louisiana,South
123,04000US23,Maine,2018,2018,1332813,maine,NewEngland
124,04000US24,Maryland,2018,2018,6003435,maryland,MiddleAtlantic
125,04000US25,Massachusetts,2018,2018,6830193,massachusetts,NewEngland
126,04000US26,Michigan,2018,2018,9957488,michigan,Midwest
127,04000US27,Minnesota,2018,2018,5527358,minnesota,Midwest
128,04000US28,Mississippi,2018,2018,2988762,mississippi,South
129,04000US29,Missouri,2018,2018,6090062,missouri,South
130,04000US30,Montana,2018,2018,1041732,montana,West
131,04000US31,Nebraska,2018,2018,1904760,nebraska,Midwest
132,04000US32,Nevada,2018,2018,2922849,nevada,West
133,04000US33,New Hampshire,2018,2018,1343622,new-hampshire,NewEngland
134,04000US34,New Jersey,2018,2018,8881845,new-jersey,MiddleAtlantic
135,04000US35,New Mexico,2018,2018,2092434,new-mexico,Southwest
136,04000US36,New York,2018,2018,19618453,new-york,MiddleAtlantic
137,04000US37,North Carolina,2018,2018,10155624,north-carolina,South
138,04000US38,North Dakota,2018,2018,752201,north-dakota,Midwest
139,04000US39,Ohio,2018,2018,11641879,ohio,Midwest
140,04000US40,Oklahoma,2018,2018,3918137,oklahoma,Southwest
141,04000US41,Oregon,2018,2018,4081943,oregon,West
142,04000US42,Pennsylvania,2018,2018,12791181,pennsylvania,MiddleAtlantic
143,04000US44,Rhode Island,2018,2018,1056611,rhode-island,NewEngland
144,04000US45,South Carolina,2018,2018,4955925,south-carolina,South
145,04000US46,South Dakota,2018,2018,864289,south-dakota,Midwest
146,04000US47,Tennessee,2018,2018,6651089,tennessee,South
147,04000US48,Texas,2018,2018,27885195,texas,Southwest
148,04000US49,Utah,2018,2018,3045350,utah,West
149,04000US50,Vermont,2018,2018,624977,vermont,NewEngland
150,04000US51,Virginia,2018,2018,8413774,virginia,South
151,04000US53,Washington,2018,2018,7294336,washington,West
152,04000US54,West Virginia,2018,2018,1829054,west-virginia,South
153,04000US55,Wisconsin,2018,2018,5778394,wisconsin,Midwest
154,04000US56,Wyoming,2018,2018,581836,wyoming,West
155,04000US72,Puerto Rico,2018,2018,3386941,puerto-rico,Other
156,04000US01,Alabama,2017,2017,4850771,alabama,South
157,04000US02,Alaska,2017,2017,738565,alaska,West
158,04000US04,Arizona,2017,2017,6809946,arizona,Southwest
159,04000US05,Arkansas,2017,2017,2977944,arkansas,South
160,04000US06,California,2017,2017,38982847,california,West
161,04000US08,Colorado,2017,2017,5436519,colorado,West
162,04000US09,Connecticut,2017,2017,3594478,connecticut,NewEngland
163,04000US10,Delaware,2017,2017,943732,delaware,MiddleAtlantic
164,04000US11,District of Columbia,2017,2017,672391,district-of-columbia,Other
165,04000US12,Florida,2017,2017,20278447,florida,South
166,04000US13,Georgia,2017,2017,10201635,georgia,South
